Date,Home_Team,Home_Win_Percentage,Visitor_Team,Visitor_Win_Percentage
2022-10-18,GSW,1.0,LAL,0.0
2022-10-21,GSW,0.5,DEN,0.5
2022-10-23,GSW,0.667,SAC,0.0
2022-10-27,GSW,0.6,MIA,0.333
2022-11-07,GSW,0.364,SAC,0.333
2022-11-11,GSW,0.417,CLE,0.667
2022-11-14,GSW,0.429,SAS,0.429
2022-11-18,GSW,0.438,NYK,0.5
2022-11-23,GSW,0.474,LAC,0.579
2022-11-25,GSW,0.5,UTA,0.571
2022-12-02,GSW,0.522,CHI,0.409
2022-12-03,GSW,0.542,HOU,0.261
2022-12-05,GSW,0.52,IND,0.542
2022-12-10,GSW,0.519,BOS,0.778
2022-12-25,GSW,0.471,MEM,0.625
2022-12-27,GSW,0.486,CHA,0.257
2022-12-28,GSW,0.5,UTA,0.514
2022-12-30,GSW,0.514,POR,0.514
2023-01-02,GSW,0.526,ATL,0.459
2023-01-04,GSW,0.513,DET,0.268
2023-01-07,GSW,0.5,ORL,0.375
2023-01-10,GSW,0.488,PHX,0.5
2023-01-22,GSW,0.489,BKN,0.63
2023-01-25,GSW,0.5,MEM,0.646
2023-01-27,GSW,0.51,TOR,0.44
2023-02-04,GSW,0.509,DAL,0.519
2023-02-06,GSW,0.519,OKC,0.472
2023-02-11,GSW,0.5,LAL,0.456
2023-02-13,GSW,0.509,WAS,0.464
2023-02-24,GSW,0.5,HOU,0.22
2023-02-26,GSW,0.508,MIN,0.492
2023-02-28,GSW,0.516,POR,0.475
2023-03-02,GSW,0.524,LAC,0.508
2023-03-03,GSW,0.531,NOP,0.484
2023-03-11,GSW,0.515,MIL,0.716
2023-03-13,GSW,0.522,PHX,0.544
2023-03-24,GSW,0.52,PHI,0.671
2023-03-26,GSW,0.513,MIN,0.507
2023-03-28,GSW,0.519,NOP,0.5
2023-03-31,GSW,0.526,SAS,0.247
2023-04-04,GSW,0.525,OKC,0.475
2023-10-24,GSW,0.0,PHX,1.0
2023-11-01,GSW,0.8,SAC,0.5
2023-11-11,GSW,0.6,CLE,0.444
2023-11-12,GSW,0.545,MIN,0.778
2023-11-14,GSW,0.5,MIN,0.8
2023-11-16,GSW,0.462,OKC,0.667
2023-11-18,GSW,0.429,OKC,0.692
2023-11-20,GSW,0.467,HOU,0.5
2023-11-24,GSW,0.471,SAS,0.188
2023-11-30,GSW,0.474,LAC,0.444
2023-12-06,GSW,0.476,POR,0.3
2023-12-16,GSW,0.44,BKN,0.52
2023-12-19,GSW,0.481,BOS,0.769
2023-12-22,GSW,0.5,WAS,0.179
2023-12-23,GSW,0.517,POR,0.25
2023-12-28,GSW,0.484,MIA,0.613
2023-12-30,GSW,0.469,DAL,0.576
2024-01-02,GSW,0.485,ORL,0.576
2024-01-04,GSW,0.471,DEN,0.694
2024-01-05,GSW,0.486,DET,0.086
2024-01-07,GSW,0.472,TOR,0.417
2024-01-10,GSW,0.459,NOP,0.605
2024-01-24,GSW,0.463,ATL,0.409
2024-01-25,GSW,0.452,SAC,0.581
2024-01-27,GSW,0.442,LAL,0.511
2024-01-30,GSW,0.455,PHI,0.63
2024-02-10,GSW,0.5,PHX,0.585
2024-02-14,GSW,0.5,LAC,0.679
2024-02-22,GSW,0.519,LAL,0.526
2024-02-23,GSW,0.527,CHA,0.25
2024-02-25,GSW,0.518,DEN,0.672
2024-03-06,GSW,0.541,MIL,0.651
2024-03-07,GSW,0.532,CHI,0.492
2024-03-09,GSW,0.524,SAS,0.219
2024-03-18,GSW,0.522,NYK,0.603
2024-03-20,GSW,0.529,MEM,0.329
2024-03-22,GSW,0.522,IND,0.563
2024-04-02,GSW,0.547,DAL,0.6
2024-04-07,GSW,0.551,UTA,0.372
2024-04-12,GSW,0.556,NOP,0.605
2024-04-14,GSW,0.561,UTA,0.378
